amount,transactions,hour,fraud
5697.269635414121,3,1,1
898.4383110475891,3,8,0
28534.20497542403,11,13,1
39779.2947051196,11,23,1
1397.6069949845014,4,10,0
433.6785260079123,1,10,0
1046.3521500880693,3,18,0
1811.7250147878106,2,14,0
1463.2376110169073,2,19,0
28037.908213786348,4,22,1
1957.8294348975733,3,19,0
27127.097812264918,6,2,1
414.86085610087895,4,20,0
1906.7171598025932,4,19,0
18301.532050410948,13,0,1
37725.40778697494,13,1,1
7183.808055930344,1,22,0
40442.644059386774,10,23,1
832.8823139810248,3,20,0
1367.1662621681808,3,7,0
600.9737220581272,4,17,0
5749.902881834043,4,8,0
128.41685568181498,4,10,0
48894.75009839382,15,4,1
33534.08056736823,6,9,1
1275.8183584869746,3,20,0
1591.1245554791494,2,17,0
342.92273186272496,1,20,0
2987.803795596021,4,7,0
597.463046023989,2,10,0
1794.522874186718,1,14,0
1492.5515961976375,3,7,0
1159.673219713867,3,13,0
884.5277841178745,2,18,0
32920.93398727663,14,4,1
1873.7842537655922,2,9,0
1951.4530337229203,2,21,0
305.95082594773993,2,16,0
3761.5586351072016,4,16,0
1188.6163129513886,3,7,0
222.4166953161894,1,16,0
1944.4790258937078,3,20,0
438.48882143895145,3,21,0
1546.2664785911904,3,6,0
7391.4686736046315,5,23,1
21.382306582803132,4,16,0
876.2550897207957,2,20,0
354.9565580099647,1,17,0
1221.290906917188,1,19,0
1775.7697378793835,2,17,0
1338.2824554096437,4,22,0
674.1800974679089,3,14,0
1930.4254563658674,3,16,0
375.9188205890256,3,7,0
1442.2495372084254,1,14,0
970.2447255892962,2,9,0
26641.752029725896,12,23,1
1921.1648554866492,2,13,0
11243.815421324514,9,0,1
43602.35297140056,6,1,1
552.4825731354794,4,16,0
899.6571950663961,4,7,0
1914.0351439930473,4,12,0
298.31959858444543,4,20,0
1913.8647896426264,2,17,0
1006.3275205731553,3,7,0
1093.6974862405789,3,12,0
559.8803900390151,1,12,0
1218.5840925120551,2,12,0
9231.506322760479,3,2,1
92.0905535227813,2,14,0
1916.4278810621245,4,14,0
596.3433785510437,4,20,0
1172.4634030247762,4,20,0
25455.92816856726,11,10,1
585.1566329875322,3,13,0
398.6359018661228,1,7,0
3831.6008312124322,3,16,0
490.8940309022696,4,14,0
32293.79411695005,4,4,1
6024.059534955992,4,22,0
5494.188634419718,13,15,1
1171.1109654807815,2,9,0
30772.75908531547,3,11,1
1903.303029453298,3,18,0
865.9535205965655,3,7,0
47838.00124276513,5,3,1
20832.616689791743,9,2,1
1376.9069797194584,4,19,0
765.165694650064,2,21,0
1055.2519897771108,1,18,0
421.50611339984874,4,21,0
482.9448551356045,2,7,0
5370.449532389313,2,11,0
14875.073402568469,6,1,1
41.535552922443756,4,13,0
1994.6540193351073,4,8,0
538.0469312611356,3,11,0
1302.0666543164689,4,10,0
121.76540689555537,1,8,0
863.987180167556,4,15,0
40709.44272074472,11,3,1
1444.6729813887816,4,14,0
1210.0293260391297,1,10,0
79.8168645449926,1,19,0
1789.0529091095786,2,9,0
17348.824022668694,6,3,1
512.228495291901,3,12,0
130.89514864838915,2,10,0
83.51058567003753,3,15,0
617.5546885482195,1,20,0
1694.8151600691365,4,12,0
681.1622554051228,3,22,0
816.4777926766611,2,12,0
569.8757195548769,2,12,0
9991.046529187915,5,2,1
810.9296560429717,3,12,0
794.0453469628422,1,8,0
10022.242295168695,11,3,1
1385.926532780722,1,21,0
1708.1304853499205,4,8,0
1767.1911488355245,1,20,0
418.2507914153888,2,14,0
1751.4645721045163,2,10,0
28763.37596824418,5,19,1
2535.7164654348526,2,16,0
921.7867316783687,3,10,0
49539.68299253991,3,2,1
1576.6853738522127,1,21,0
274.7312486541327,1,18,0
1828.7137962582815,3,16,0
1282.568259566157,3,22,0
1738.4275692127355,1,7,0
1271.8326031619517,2,11,0
1693.8750903767698,3,17,0
332.09328093358477,3,17,0
1506.3636846301497,3,10,0
1968.3596040319383,2,7,0
1493.9733827474151,4,21,0
950.8197143843227,3,15,0
653.1865077993959,3,15,0
19.00022580303976,4,8,0
41.75913578901282,3,11,0
23698.02500692183,12,12,1
3554.413347598307,2,9,0
75.94622370911068,1,19,0
1451.3399693312606,1,13,0
582.9521117554617,2,17,0
1991.8518141311463,4,11,0
47543.28504959386,7,2,1
1037.6695017957957,4,16,0
1570.164711612619,3,10,0
993.916872352441,3,6,0
6617.116632434125,4,16,0
1634.8983217328905,3,13,0
1494.968055424808,2,14,0
565.5920716456615,4,14,0
544.4873120578277,1,22,0
1154.8224775286897,4,16,0
17748.560314748393,8,0,1
373.6551377356748,4,22,0
6830.452040560457,11,0,1
655.3905092144284,4,6,0
375.38456518568205,1,22,0
3924.193957060791,2,8,0
1495.8704628583491,3,20,0
964.0263977123927,2,20,0
1522.8051642261632,3,11,0
1410.7673633919185,4,10,0
1886.8591156410118,3,15,0
817.3274848214294,4,10,0
1526.5277880588626,4,16,0
1036.9267887925819,4,21,0
523.2552691804963,1,15,0
886.8568999498924,2,21,0
1911.3909364652975,4,15,0
